                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3687,                 3.3346,                 1.8993,                0.02367,                0.50746,                0.02064,                0.00787,                 2.2522,                  24.83,                 1.7854,             0.00064912,             0.00064912,             0.00064912
                      2,                 1.8289,                 1.5436,                  1.495,                 0.7571,                0.74435,                0.83347,                 0.3859,                 1.8644,                 1.8605,                 1.7566,              0.0012637,              0.0012637,              0.0012637
                      3,                 1.7165,                 1.3697,                 1.4899,                0.67551,                0.91045,                0.77123,                0.36277,                 1.6862,                 1.9309,                 1.6012,              0.0018254,              0.0018254,              0.0018254
                      4,                 1.6084,                 1.1416,                 1.4372,                0.85878,                0.86224,                0.93764,                0.44853,                 1.5697,                 1.4181,                  1.666,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.6577,                 1.1512,                 1.4896,                0.75775,                0.69403,                0.78576,                0.32609,                 1.9332,                 1.9052,                 1.8603,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.5655,                 1.0701,                 1.3739,                0.96147,                0.96269,                0.98212,                 0.5247,                 1.4773,                 1.3135,                 1.3854,               0.001604,               0.001604,               0.001604
                      7,                 1.5755,                 1.0132,                  1.414,                0.84936,                0.71534,                0.82118,                0.39801,                 1.9086,                 1.0694,                 1.7771,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.4856,                0.95444,                 1.3646,                0.97534,                0.88558,                0.97116,                0.54216,                 1.5209,                0.80771,                  1.545,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.4326,                 0.8833,                 1.3397,                0.96915,                0.93782,                0.97505,                0.53818,                 1.5056,                 0.8314,                 1.4537,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.3699,                0.83011,                 1.3025,                0.97724,                0.96107,                0.98978,                0.53329,                 1.5712,                0.77963,                 1.4922,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.3328,                0.83251,                 1.2776,                 0.9625,                0.95759,                0.98633,                0.55266,                 1.5992,                0.79149,                 1.5645,               0.001208,               0.001208,               0.001208
                     12,                 1.2805,                0.80087,                 1.2459,                0.97677,                0.93284,                0.97872,                0.54913,                 1.4901,                0.73143,                 1.4592,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.3093,                0.78837,                 1.2483,                0.97044,                 0.9403,                0.98731,                0.57255,                 1.4415,                0.66943,                 1.3834,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.2394,                0.73361,                 1.2038,                0.97053,                0.98324,                0.99375,                0.56873,                 1.5253,                0.66735,                 1.3717,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.2125,                0.73463,                  1.193,                0.95527,                0.95636,                0.98068,                0.59711,                 1.5016,                0.72197,                 1.3835,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.2236,                0.68751,                 1.2135,                0.94994,                0.99254,                 0.9907,                0.60423,                 1.4579,                0.65917,                 1.2876,               0.000812,               0.000812,               0.000812
                     17,                 1.1862,                0.67072,                 1.1682,                0.99235,                0.96854,                0.99094,                0.61311,                 1.4368,                 0.6119,                  1.345,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.1501,                0.64643,                 1.1704,                0.98053,                0.94776,                0.98912,                0.59714,                 1.4407,                0.64078,                 1.3729,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.1005,                0.65476,                 1.1544,                0.95506,                0.85075,                  0.969,                0.59979,                 1.4072,                 0.7064,                 1.3751,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.0829,                0.61855,                 1.1439,                0.92317,                0.92537,                0.98152,                0.61759,                 1.3733,                0.65852,                 1.3677,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.0675,                0.60788,                 1.1415,                      1,                0.97498,                0.99205,                0.63595,                 1.4083,                0.61382,                 1.3154,               0.000416,               0.000416,               0.000416
                     22,                 1.0475,                0.58567,                 1.1136,                0.96792,                0.95522,                0.98981,                0.63418,                 1.4104,                 0.6247,                 1.3051,              0.0003368,              0.0003368,              0.0003368
                     23,                   1.03,                0.56779,                 1.1004,                0.99234,                0.96704,                0.99149,                0.63305,                  1.387,                0.63618,                 1.2972,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.0097,                0.55107,                 1.0967,                0.97682,                0.97761,                0.99359,                0.62934,                 1.4403,                0.60887,                 1.3218,              0.0001784,              0.0001784,              0.0001784
                     25,                      1,                0.53917,                 1.0981,                0.98517,                0.99127,                0.99379,                0.64205,                  1.381,                0.59437,                 1.3118,               9.92e-05,               9.92e-05,               9.92e-05
